"haul","string","l","n_1","n_2","q_1","q_2"
4,"C",24,0,1,1,1
10,"A",23,1,0,1,1
10,"C",26,0,1,1,1
11,"B",24,0,1,1,1
12,"A",24,1,0,1,1
