"haul","string","l","n_1","n_2","q_1","q_2"
1,"B",18,1,0,1,1
2,"A",18,1,0,1,1
2,"A",19,2,1,1,1
2,"A",20,1,0,1,1
2,"C",18,0,2,1,1
12,"C",39,1,0,1,1
